rule,component,line,message,severity,type
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/subscriptions/StripeManager.java,455,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S1118,service/src/main/java/org/whispersystems/textsecuregcm/subscriptions/SubscriptionCurrencyUtil.java,33,Add a private constructor to hide the implicit public one.,MAJOR,CODE_SMELL
java:S2184,service/src/main/java/org/whispersystems/textsecuregcm/util/Constants.java,12,"Cast one of the operands of this addition operation to a ""long"".",MINOR,BUG
java:S125,service/src/main/java/org/whispersystems/textsecuregcm/controllers/AccountController.java,334,This block of commented-out lines of code should be removed.,MAJOR,CODE_SMELL
java:S112,service/src/main/java/org/whispersystems/textsecuregcm/registration/RegistrationServiceClient.java,101,Define and throw a dedicated exception instead of using a generic one.,MAJOR,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/SubscriptionManager.java,272,"Define a constant instead of duplicating this literal ""#accessed_at"" 6 times.",CRITICAL,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/SubscriptionManager.java,277,"Define a constant instead of duplicating this literal "":accessed_at"" 6 times.",CRITICAL,CODE_SMELL
java:S2142,service/src/main/java/org/whispersystems/textsecuregcm/captcha/HCaptchaClient.java,75,"Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here.",MAJOR,BUG
java:S1186,service/src/main/java/org/whispersystems/textsecuregcm/captcha/HCaptchaResponse.java,42,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",CRITICAL,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,819,"Define a constant instead of duplicating this literal ""error"" 3 times.",CRITICAL,CODE_SMELL
java:S3740,service/src/main/java/org/whispersystems/textsecuregcm/mappers/CompletionExceptionMapper.java,30,Provide the parametrized type for this generic.,MAJOR,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,153,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,264,"Define a constant instead of duplicating this literal ""#number"" 3 times.",CRITICAL,CODE_SMELL
java:S2139,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,574,"Either log this exception and handle it, or rethrow it with some contextual information.",MAJOR,CODE_SMELL
java:S6244,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,730,Consider using the Consumer Builder method instead of creating this nested builder.,MINOR,CODE_SMELL
java:S6244,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,748,Consider using the Consumer Builder method instead of creating this nested builder.,MINOR,CODE_SMELL
java:S6244,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,772,Consider using the Consumer Builder method instead of creating this nested builder.,MINOR,CODE_SMELL
java:S6244,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,804,Consider using the Consumer Builder method instead of creating this nested builder.,MINOR,CODE_SMELL
java:S6213,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,812,Rename this method to not match a restricted identifier.,MAJOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/configuration/StripeConfiguration.java,12,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,950,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S108,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,961,Either remove or fill this block of code.,MAJOR,CODE_SMELL
java:S2629,service/src/main/java/org/whispersystems/textsecuregcm/subscriptions/BraintreeGraphqlClient.java,295,Invoke method(s) only conditionally.,MAJOR,CODE_SMELL
java:S107,service/src/main/java/org/whispersystems/textsecuregcm/subscriptions/BraintreeManager.java,55,"Constructor has 9 parameters, which is greater than 7 authorized.",MAJOR,CODE_SMELL
java:S107,service/src/main/java/org/whispersystems/textsecuregcm/storage/Device.java,286,"Constructor has 9 parameters, which is greater than 7 authorized.",MAJOR,CODE_SMELL
java:S2142,service/src/main/java/org/whispersystems/textsecuregcm/storage/AccountCleaner.java,50,"Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here.",MAJOR,BUG
java:S6204,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,176,Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()',MAJOR,CODE_SMELL
java:S112,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,179,Define and throw a dedicated exception instead of using a generic one.,MAJOR,CODE_SMELL
java:S6355,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,670,Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.,MAJOR,CODE_SMELL
java:S6355,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,718,Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.,MAJOR,CODE_SMELL
java:S6355,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,741,Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.,MAJOR,CODE_SMELL
java:S6355,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,753,Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.,MAJOR,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/filters/RequestStatisticsFilter.java,32,Use already-defined constant 'IP_VERSION_TAG' instead of duplicating its value here.,CRITICAL,CODE_SMELL
java:S3864,service/src/main/java/org/whispersystems/textsecuregcm/controllers/MessageController.java,535,"Remove this use of ""Stream.peek"".",MAJOR,CODE_SMELL
java:S1116,service/src/main/java/org/whispersystems/textsecuregcm/currency/CoinMarketCapClient.java,25,Remove this empty statement.,MINOR,CODE_SMELL
java:S1116,service/src/main/java/org/whispersystems/textsecuregcm/currency/CoinMarketCapClient.java,27,Remove this empty statement.,MINOR,CODE_SMELL
java:S1116,service/src/main/java/org/whispersystems/textsecuregcm/currency/CoinMarketCapClient.java,29,Remove this empty statement.,MINOR,CODE_SMELL
java:S2142,service/src/main/java/org/whispersystems/textsecuregcm/currency/CoinMarketCapClient.java,60,"Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here.",MAJOR,BUG
java:S1199,service/src/main/java/org/whispersystems/textsecuregcm/currency/CurrencyConversionManager.java,94,Extract this nested code block into a method.,MINOR,CODE_SMELL
java:S107,service/src/main/java/org/whispersystems/textsecuregcm/controllers/AccountController.java,171,"Constructor has 14 parameters, which is greater than 7 authorized.",MAJOR,CODE_SMELL
java:S1612,service/src/main/java/org/whispersystems/textsecuregcm/redis/FaultTolerantRedisCluster.java,83,Replace this lambda with method reference 'RedisCommandTimeoutException.class::isInstance'.,MINOR,CODE_SMELL
java:S116,service/src/main/java/org/whispersystems/textsecuregcm/storage/MessagesManager.java,35,"Rename this field ""GET_MESSAGES_FOR_DEVICE_FLUX_NAME"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",MINOR,CODE_SMELL
java:S1602,service/src/main/java/org/whispersystems/textsecuregcm/controllers/MessageController.java,579,Remove useless curly braces around statement,MINOR,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/redis/ClusterLuaScript.java,113,"Define a constant instead of duplicating this literal ""Failed to execute script"" 3 times.",CRITICAL,CODE_SMELL
java:S5993,service/src/main/java/org/whispersystems/textsecuregcm/storage/AbstractDynamoDbStore.java,48,"Change the visibility of this constructor to ""protected"".",MAJOR,CODE_SMELL
java:S6204,service/src/main/java/org/whispersystems/textsecuregcm/storage/MessagesCache.java,184,Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()',MAJOR,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/MessagesDynamoDb.java,138,"Define a constant instead of duplicating this literal ""Failed to parse envelope"" 3 times.",CRITICAL,CODE_SMELL
java:S2142,service/src/main/java/org/whispersystems/textsecuregcm/storage/MessagesManager.java,156,"Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here.",MAJOR,BUG
java:S1068,service/src/main/java/org/whispersystems/textsecuregcm/websocket/AuthenticatedConnectListener.java,43,"Remove this unused ""OPEN_WEBSOCKET_COUNTER_NAME"" private field.",MAJOR,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/websocket/WebSocketConnection.java,300,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S1874,service/src/main/java/org/whispersystems/textsecuregcm/controllers/AccountController.java,351,"Remove this use of ""REGION_TAG_NAME""; it is deprecated.",MINOR,CODE_SMELL
java:S6213,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,430,Rename this variable to not match a restricted identifier.,MAJOR,CODE_SMELL
java:S6213,service/src/main/java/org/whispersystems/textsecuregcm/storage/SubscriptionManager.java,84,Rename this variable to not match a restricted identifier.,MAJOR,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/controllers/MessageController.java,353,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S6213,service/src/main/java/org/whispersystems/textsecuregcm/controllers/SubscriptionController.java,293,Rename this variable to not match a restricted identifier.,MAJOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/auth/StoredVerificationCode.java,13,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S1186,service/src/main/java/org/whispersystems/textsecuregcm/registration/ApiKeyCallCredentials.java,30,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",CRITICAL,CODE_SMELL
java:S1186,service/src/main/java/org/whispersystems/textsecuregcm/registration/RegistrationServiceClient.java,220,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",CRITICAL,CODE_SMELL
java:S6355,service/src/main/java/org/whispersystems/textsecuregcm/controllers/AccountController.java,145,Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.,MAJOR,CODE_SMELL
java:S1874,service/src/main/java/org/whispersystems/textsecuregcm/controllers/AccountController.java,293,"Remove this use of ""REGION_TAG_NAME""; it is deprecated.",MINOR,CODE_SMELL
java:S107,service/src/main/java/org/whispersystems/textsecuregcm/controllers/MessageController.java,688,"Method has 8 parameters, which is greater than 7 authorized.",MAJOR,CODE_SMELL
java:S108,service/src/main/java/org/whispersystems/textsecuregcm/controllers/MessageController.java,728,Either remove or fill this block of code.,MAJOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/OutgoingMessageEntity.java,14,Override toString to consider array's content in the method,MAJOR,BUG
java:S1118,websocket-resources/src/main/java/org/whispersystems/websocket/Stories.java,9,Add a private constructor to hide the implicit public one.,MAJOR,CODE_SMELL
java:S1124,websocket-resources/src/main/java/org/whispersystems/websocket/Stories.java,10,Reorder the modifiers to comply with the Java Language Specification.,MINOR,CODE_SMELL
java:S1874,service/src/main/java/org/whispersystems/textsecuregcm/controllers/AccountController.java,821,"Remove this use of ""REGION_TAG_NAME""; it is deprecated.",MINOR,CODE_SMELL
java:S1874,service/src/main/java/org/whispersystems/textsecuregcm/controllers/AccountController.java,273,"Remove this use of ""REGION_TAG_NAME""; it is deprecated.",MINOR,CODE_SMELL
java:S1874,service/src/main/java/org/whispersystems/textsecuregcm/controllers/ProfileController.java,423,"Remove this use of ""aci""; it is deprecated.",MINOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/BatchIdentityCheckRequest.java,23,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S6355,service/src/main/java/org/whispersystems/textsecuregcm/entities/BatchIdentityCheckRequest.java,23,Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.,MAJOR,CODE_SMELL
java:S1123,service/src/main/java/org/whispersystems/textsecuregcm/entities/BatchIdentityCheckRequest.java,23,Add the missing @deprecated Javadoc tag.,MAJOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/BatchIdentityCheckResponse.java,18,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S6355,service/src/main/java/org/whispersystems/textsecuregcm/entities/BatchIdentityCheckResponse.java,18,Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.,MAJOR,CODE_SMELL
java:S1123,service/src/main/java/org/whispersystems/textsecuregcm/entities/BatchIdentityCheckResponse.java,18,Add the missing @deprecated Javadoc tag.,MAJOR,CODE_SMELL
java:S1874,service/src/main/java/org/whispersystems/textsecuregcm/controllers/ProfileController.java,392,"Remove this use of ""aci""; it is deprecated.",MINOR,CODE_SMELL
java:S1874,service/src/main/java/org/whispersystems/textsecuregcm/controllers/ProfileController.java,393,"Remove this use of ""aci""; it is deprecated.",MINOR,CODE_SMELL
java:S6204,service/src/main/java/org/whispersystems/textsecuregcm/controllers/RemoteConfigController.java,106,Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()',MAJOR,CODE_SMELL
java:S1128,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,17,Remove this unused import 'java.nio.charset.StandardCharsets'.,MINOR,CODE_SMELL
java:S1128,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,18,Remove this unused import 'java.security.MessageDigest'.,MINOR,CODE_SMELL
java:S1128,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,19,Remove this unused import 'java.security.NoSuchAlgorithmException'.,MINOR,CODE_SMELL
java:S107,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,121,"Constructor has 8 parameters, which is greater than 7 authorized.",MAJOR,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,265,"Define a constant instead of duplicating this literal ""#data"" 5 times.",CRITICAL,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,268,"Define a constant instead of duplicating this literal ""#version"" 5 times.",CRITICAL,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,271,"Define a constant instead of duplicating this literal "":data"" 5 times.",CRITICAL,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,274,"Define a constant instead of duplicating this literal "":version"" 5 times.",CRITICAL,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,275,"Define a constant instead of duplicating this literal "":version_increment"" 5 times.",CRITICAL,CODE_SMELL
java:S6244,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,335,Consider using the Consumer Builder method instead of creating this nested builder.,MINOR,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,339,"Define a constant instead of duplicating this literal ""#version = :version"" 3 times.",CRITICAL,CODE_SMELL
java:S6244,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,395,Consider using the Consumer Builder method instead of creating this nested builder.,MINOR,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/storage/ProhibitedUsernames.java,56,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S1854,service/src/main/java/org/whispersystems/textsecuregcm/workers/AssignUsernameCommand.java,170,"Remove this useless assignment to local variable ""prohibitedUsernames"".",MAJOR,CODE_SMELL
java:S1481,service/src/main/java/org/whispersystems/textsecuregcm/workers/AssignUsernameCommand.java,170,"Remove this unused ""prohibitedUsernames"" local variable.",MINOR,CODE_SMELL
java:S1854,service/src/main/java/org/whispersystems/textsecuregcm/workers/DeleteUserCommand.java,169,"Remove this useless assignment to local variable ""prohibitedUsernames"".",MAJOR,CODE_SMELL
